step,loss,dom,bl,bc,w_dom,w_bl,w_bc,elapsed_seconds,current_steps_per_second,average_steps_per_second,projected_total_seconds,remaining_seconds
1.0,43.136627197265625,0.1617664396762848,0.16562031209468842,170.6614990234375,1.4394400119781494,1.4394400119781494,0.25,5.456022250000387,0.18328371003251115,0.18328371003251115,2728011.1250001937,2728005.6689779437
1000.0,4.8790283203125,0.8770291209220886,1.077696681022644,7.790284633636475,2.192638635635376,0.496612548828125,0.3107489347457886,65.55735645897221,16.621927169311842,15.253818244270274,32778.678229486104,32713.120873027132
2000.0,2.6190621852874756,0.48147106170654297,0.6153727769851685,3.915238857269287,2.2130491733551025,0.46291491389274597,0.3240358829498291,125.32244237500709,16.732177067475806,15.958833566420006,31330.61059375177,31205.288151376764
3000.0,1.979414463043213,0.33313730359077454,1.3224544525146484,0.9766896367073059,1.7299972772598267,0.25,1.0980706214904785,184.05750479199924,17.025605470552772,16.299253884758773,30676.25079866654,30492.19329387454
4000.0,3.561743974685669,0.9919083714485168,2.301957130432129,1.3196005821228027,2.029252290725708,0.25,0.7376644015312195,243.8408707920462,16.7270608349355,16.404140893227467,30480.108849005774,30236.267978213727
5000.0,1.9855084419250488,0.5348660349845886,0.7566728591918945,0.5336641073226929,1.4340198040008545,1.4340198040008545,0.25,302.75760587502737,16.973106174188906,16.514861734188457,30275.760587502737,29973.00298162771
6000.0,1.106787919998169,0.2449529767036438,0.5570539832115173,0.9744357466697693,2.1913986206054688,0.5221403241157532,0.28646111488342285,362.2410276250448,16.8114067849452,16.563557251749494,30186.75230208707,29824.511274462024
7000.0,1.6362234354019165,0.4778384864330292,0.6825657486915588,0.33182287216186523,1.7843513488769531,1.026473879814148,0.25,421.87161045894027,16.769918261331767,16.592725906312893,30133.686461352878,29711.814850893938
8000.0,1.1949152946472168,0.2529616057872772,0.500866174697876,1.1404556035995483,2.209322452545166,0.41540899872779846,0.3752686083316803,480.7848602089798,16.974110310377654,16.639459063920377,30049.053763061238,29568.268902852258
9000.0,0.8101060390472412,0.10421030223369598,0.49587318301200867,1.0757036209106445,2.2348742485046387,0.4239846467971802,0.34114089608192444,539.2041920840275,17.117621306229367,16.691264890235637,29955.78844911264,29416.58425702861
10000.0,1.6515787839889526,0.33015745878219604,1.3637667894363403,0.8100563287734985,1.9771729707717896,0.25,0.8121147751808167,600.426820209017,16.333830000868986,16.654818977804588,30021.34101045085,29420.914190241834
11000.0,0.654519259929657,0.1533939093351364,0.27419915795326233,0.40247735381126404,1.7961771488189697,1.01523756980896,0.25,658.88876320899,17.105144794802023,16.69477552846194,29949.489236772275,29290.600473563285
12000.0,0.8757843971252441,0.16456031799316406,0.41419291496276855,0.7783336043357849,1.919804573059082,0.8819014430046082,0.25,717.0988131669583,17.17916409145963,16.734095468661867,29879.11721528993,29162.018402122972
