id,t_start,t_end,t_mid,clean_charge_start,clean_charge_end,clean_current,observed_current,sigma,side
0,0.0025000000000000001,0.0050000000000000001,0.0037499999999999999,-1.0055842688134342,-1.0108201173989404,-2.0943394342024746,-2.146324207447865,0.041886788684049492,left
1,0.0050000000000000001,0.0074999999999999997,0.0062500000000000003,-1.0108201173989404,-1.0157847406340481,-1.9858492940430852,-1.9816618739890037,0.041886788684049492,left
2,0.0074999999999999997,0.01,0.0087500000000000008,-1.0157847406340481,-1.020524669426248,-1.8959715168799458,-1.8917557866153287,0.041886788684049492,left
3,0.01,0.012500000000000001,0.01125,-1.020524669426248,-1.0250681752752389,-1.8174023395963519,-1.8227949177808216,0.041886788684049492,left
4,0.012500000000000001,0.014999999999999999,0.01375,-1.0250681752752389,-1.0294347961855548,-1.7466483641263695,-1.6729103168745953,0.041886788684049492,left
5,0.014999999999999999,0.017500000000000002,0.016250000000000001,-1.0294347961855548,-1.0336391120025807,-1.6817263268103828,-1.6464338517440418,0.041886788684049492,left
6,0.017500000000000002,0.02,0.018750000000000003,-1.0336391120025807,-1.0376925387355562,-1.6213706931901948,-1.5704172087919015,0.041886788684049492,left
7,0.02,0.022499999999999999,0.021249999999999998,-1.0376925387355562,-1.0416043904793333,-1.5647406975108256,-1.6048411331778414,0.041886788684049492,left
8,0.022499999999999999,0.025000000000000001,0.02375,-1.0416043904793333,-1.0453824328621493,-1.5112169531263917,-1.5521053675150607,0.041886788684049492,left
9,0.025000000000000001,0.0275,0.026250000000000002,-1.0453824328621493,-1.0490333159304037,-1.4603532273017812,-1.4406889517947541,0.041886788684049492,left
10,0.0275,0.029999999999999999,0.028749999999999998,-1.0490333159304037,-1.0525628709731039,-1.4118220170800562,-1.4149286352663963,0.041886788684049492,left
11,0.029999999999999999,0.032500000000000001,0.03125,-1.0525628709731039,-1.0559762673860735,-1.3653585651878675,-1.3189040093870226,0.041886788684049492,left
12,0.032500000000000001,0.035000000000000003,0.033750000000000002,-1.0559762673860735,-1.0592781554986475,-1.320755245029569,-1.3370784021379651,0.041886788684049492,left
13,0.035000000000000003,0.037499999999999999,0.036250000000000004,-1.0592781554986475,-1.0624727904451721,-1.2778539786098466,-1.3779029939902654,0.041886788684049492,left
14,0.037499999999999999,0.040000000000000001,0.03875,-1.0624727904451721,-1.0655641114515648,-1.2365284025571011,-1.2305764837092628,0.041886788684049492,left
15,0.040000000000000001,0.042500000000000003,0.041250000000000002,-1.0655641114515648,-1.0685557960511551,-1.1966738398361254,-1.2265308018563956,0.041886788684049492,left
16,0.042500000000000003,0.044999999999999998,0.043749999999999997,-1.0685557960511551,-1.0714512923144452,-1.158198505316046,-1.1476127347740381,0.041886788684049492,left
17,0.044999999999999998,0.047500000000000001,0.046249999999999999,-1.0714512923144452,-1.0742538605847267,-1.1210273081125868,-1.1341640509102731,0.041886788684049492,left
18,0.047500000000000001,0.050000000000000003,0.048750000000000002,-1.0742538605847267,-1.076966605018302,-1.0850977734301095,-1.0865714557440074,0.041886788684049492,left
19,0.050000000000000003,0.052499999999999998,0.051250000000000004,-1.076966605018302,-1.0795924843874545,-1.0503517476609956,-1.0144056253489677,0.041886788684049492,left
20,0.052499999999999998,0.055,0.053749999999999999,-1.0795924843874545,-1.0821343426819197,-1.0167433177860721,-1.0663398230677765,0.041886788684049492,left
21,0.055,0.057500000000000002,0.056250000000000001,-1.0821343426819197,-1.0845949105931558,-0.98422716449446579,-1.0344273727616344,0.041886788684049492,left
22,0.057500000000000002,0.059999999999999998,0.058749999999999997,-1.0845949105931558,-1.0869768170769938,-0.95276259353518533,-0.96286098398732367,0.041886788684049492,left
23,0.059999999999999998,0.0625,0.061249999999999999,-1.0869768170769938,-1.0892825845985696,-0.9223070086303401,-0.85169827848604884,0.041886788684049492,left
24,0.0625,0.065000000000000002,0.063750000000000001,-1.0892825845985696,-1.0915146557987134,-0.89282848005751625,-0.89085817159663183,0.041886788684049492,left
25,0.065000000000000002,0.067500000000000004,0.066250000000000003,-1.0915146557987134,-1.0936753888790927,-0.86429323215169085,-0.86235670040240697,0.041886788684049492,left
26,0.067500000000000004,0.070000000000000007,0.068750000000000006,-1.0936753888790927,-1.0957670597462941,-0.83666834688056391,-0.78988434389745543,0.041886788684049492,left
27,0.070000000000000007,0.072499999999999995,0.071250000000000008,-1.0957670597462941,-1.0977918803966233,-0.80992826013171304,-0.86492989134309628,0.041886788684049492,left
28,0.072499999999999995,0.074999999999999997,0.073749999999999996,-1.0977918803966233,-1.0997519794328015,-0.78403961447124293,-0.74496000832956277,0.041886788684049492,left
29,0.074999999999999997,0.077499999999999999,0.076249999999999998,-1.0997519794328015,-1.1016494256418849,-0.75897848363339837,-0.84332881948464489,0.041886788684049492,left
30,0.077499999999999999,0.080000000000000002,0.078750000000000001,-1.1016494256418849,-1.1034862208266998,-0.73471807392593225,-0.71940568814686068,0.041886788684049492,left
31,0.080000000000000002,0.082500000000000004,0.081250000000000003,-1.1034862208266998,-1.1052642985755232,-0.71123109952937402,-0.71855445279164454,0.041886788684049492,left
32,0.082500000000000004,0.085000000000000006,0.083750000000000005,-1.1052642985755232,-1.1069855217394384,-0.68848926556608281,-0.67238597871117245,0.041886788684049492,left
33,0.085000000000000006,0.087500000000000008,0.086250000000000007,-1.1069855217394384,-1.1086517207504223,-0.66647960439354337,-0.70910310065718363,0.041886788684049492,left
34,0.087500000000000008,0.089999999999999997,0.088749999999999996,-1.1086517207504223,-1.1102646326598113,-0.64516476375562648,-0.71332463106660493,0.041886788684049492,left
35,0.089999999999999997,0.092499999999999999,0.091249999999999998,-1.1102646326598113,-1.111825963579504,-0.62453236787707256,-0.57271957159527542,0.041886788684049492,left
36,0.092499999999999999,0.095000000000000001,0.09375,-1.111825963579504,-1.1133373648029035,-0.6045604893597728,-0.63534159795801215,0.041886788684049492,left
37,0.095000000000000001,0.097500000000000003,0.096250000000000002,-1.1133373648029035,-1.1148004159010032,-0.58522043923989686,-0.58055173665142579,0.041886788684049492,left
38,0.097500000000000003,0.10000000000000001,0.098750000000000004,-1.1148004159010032,-1.1162166801442421,-0.56650569729557121,-0.53674361733449316,0.041886788684049492,left
39,0.10000000000000001,0.10250000000000001,0.10125000000000001,-1.1162166801442421,-1.11758763835007,-0.54838328233115474,-0.59952660201903285,0.041886788684049492,left
40,0.10250000000000001,0.105,0.10375000000000001,-1.11758763835007,-1.1189147411588558,-0.53084112351431645,-0.5254873532876102,0.041886788684049492,left
41,0.105,0.1075,0.10625,-1.1189147411588558,-1.1201993955017917,-0.51386173717435879,-0.50574932341657175,0.041886788684049492,left
42,0.1075,0.11,0.10875,-1.1201993955017917,-1.1214429482601704,-0.49742110335149148,-0.53016505197587127,0.041886788684049492,left
43,0.11,0.1125,0.11125,-1.1214429482601704,-1.1226467399798579,-0.4815166878749717,-0.45717670541200744,0.041886788684049492,left
