Dp,Dn,log_likelihood,posterior_mass,sum_squared_standardized_error
0.65000000000000002,1.8875,33.698633749099713,7.2145718611379438e-50,288.71044386310905
0.65000000000000002,1.925,27.209025553811699,1.0959974271800352e-52,301.68966025368508
0.65000000000000002,1.9624999999999999,17.386752393592644,5.9436126920406774e-57,321.33420657412319
0.65000000000000002,2,4.1471350499124924,1.0572014413376155e-62,347.81344126148349
0.6875,0.5,-2610.314033547113,0,5576.7357784555343
0.6875,0.53749999999999998,-2413.2480722172595,0,5182.6038557958273
0.6875,0.57499999999999996,-2229.3926489653581,0,4814.8930092920245
0.6875,0.61250000000000004,-2057.5127217790555,0,4471.1331549194192
0.6875,0.65000000000000002,-1896.5432213348276,0,4149.1941540309635
0.6875,0.6875,-1745.4941925379494,0,3847.0960964372071
0.6875,0.72499999999999998,-1603.6194495488644,0,3563.346610459037
0.6875,0.76249999999999996,-1470.1136530691206,0,3296.3350174995494
0.6875,0.80000000000000004,-1344.434343369112,0,3044.9763980995326
0.6875,0.83749999999999991,-1225.9937368025112,0,2808.0951849663311
0.6875,0.875,-1114.3502083596491,0,2584.8081280806064
0.6875,0.91249999999999998,-1009.1842478108837,0,2374.4762069830758
0.6875,0.94999999999999996,-910.12522661283344,0,2176.3581645869754
0.6875,0.98750000000000004,-816.94305649079058,0,1989.9938243428896
0.6875,1.0249999999999999,-729.38946433746105,0,1814.8866400362306
0.6875,1.0625,-647.27932238810217,0,1650.6663561375128
0.6875,1.1000000000000001,-570.43801597089555,3.0549019427377431e-312,1496.9837433030996
0.6875,1.1375,-498.74468343687499,4.1784574444926664e-281,1353.5970782350585
0.6875,1.1749999999999998,-432.04608179705758,3.8712447223057113e-252,1220.1998749554236
0.6875,1.2124999999999999,-370.17657537688603,2.8670539328784516e-225,1096.4608621150805
0.6875,1.25,-313.05769667132597,1.8359028540128003e-200,982.22310470396042
0.6875,1.2875000000000001,-260.53911981085508,1.1813479306560347e-177,877.18595098301864
0.6875,1.325,-212.48257257086982,8.7714443131316374e-157,781.07285650304811
